,Department_UPC,ID_author,Number_articles
13274,Departament d'Arquitectura de Computadors,25897312,1
13275,Departament d'Arquitectura de Computadors,25897334,4
13287,Departament d'Arquitectura de Computadors,25898732,1
13293,Departament d'Arquitectura de Computadors,25961285,2
13323,Departament d'Arquitectura de Computadors,26580483,1
13325,Departament d'Arquitectura de Computadors,26580505,1
13363,Departament d'Arquitectura de Computadors,28961784,1
13392,Departament d'Arquitectura de Computadors,29766660,1
13397,Departament d'Arquitectura de Computadors,29939103,1
13440,Departament d'Arquitectura de Computadors,32069551,1
13466,Departament d'Arquitectura de Computadors,4402567,5
13535,Departament d'Arquitectura de Computadors,6065971,36
13577,Departament d'Enginyeria Agroalimentària i Biotecnologia,11001064,28
13594,Departament d'Enginyeria Agroalimentària i Biotecnologia,11005430,20
13816,Departament d'Enginyeria Agroalimentària i Biotecnologia,15376177,16
14469,Departament d'Enginyeria Agroalimentària i Biotecnologia,179600,17
14506,Departament d'Enginyeria Agroalimentària i Biotecnologia,179695,19
14968,Departament d'Enginyeria Agroalimentària i Biotecnologia,181091,5
15017,Departament d'Enginyeria Agroalimentària i Biotecnologia,181228,18
15025,Departament d'Enginyeria Agroalimentària i Biotecnologia,181246,4
15041,Departament d'Enginyeria Agroalimentària i Biotecnologia,181342,9
15126,Departament d'Enginyeria Agroalimentària i Biotecnologia,181640,35
15127,Departament d'Enginyeria Agroalimentària i Biotecnologia,181645,22
15135,Departament d'Enginyeria Agroalimentària i Biotecnologia,181684,17
15178,Departament d'Enginyeria Agroalimentària i Biotecnologia,181834,100
15181,Departament d'Enginyeria Agroalimentària i Biotecnologia,181852,14
15185,Departament d'Enginyeria Agroalimentària i Biotecnologia,181860,18
15190,Departament d'Enginyeria Agroalimentària i Biotecnologia,181889,21
15194,Departament d'Enginyeria Agroalimentària i Biotecnologia,181900,70
15200,Departament d'Enginyeria Agroalimentària i Biotecnologia,181919,29
15282,Departament d'Enginyeria Agroalimentària i Biotecnologia,182222,9
15361,Departament d'Enginyeria Agroalimentària i Biotecnologia,182630,17
15362,Departament d'Enginyeria Agroalimentària i Biotecnologia,182634,6
15365,Departament d'Enginyeria Agroalimentària i Biotecnologia,182641,16
15382,Departament d'Enginyeria Agroalimentària i Biotecnologia,182730,56
15403,Departament d'Enginyeria Agroalimentària i Biotecnologia,182815,20
15404,Departament d'Enginyeria Agroalimentària i Biotecnologia,182817,3
15406,Departament d'Enginyeria Agroalimentària i Biotecnologia,182820,7
15407,Departament d'Enginyeria Agroalimentària i Biotecnologia,182826,1
15408,Departament d'Enginyeria Agroalimentària i Biotecnologia,182828,40
15409,Departament d'Enginyeria Agroalimentària i Biotecnologia,182830,30
15410,Departament d'Enginyeria Agroalimentària i Biotecnologia,182832,4
15411,Departament d'Enginyeria Agroalimentària i Biotecnologia,182833,6
15412,Departament d'Enginyeria Agroalimentària i Biotecnologia,182835,9
15413,Departament d'Enginyeria Agroalimentària i Biotecnologia,182836,2
15453,Departament d'Enginyeria Agroalimentària i Biotecnologia,183071,36
15493,Departament d'Enginyeria Agroalimentària i Biotecnologia,183364,1
15536,Departament d'Enginyeria Agroalimentària i Biotecnologia,18555726,8
15538,Departament d'Enginyeria Agroalimentària i Biotecnologia,18555784,6
15581,Departament d'Enginyeria Agroalimentària i Biotecnologia,19194947,35
15591,Departament d'Enginyeria Agroalimentària i Biotecnologia,19687227,8
15605,Departament d'Enginyeria Agroalimentària i Biotecnologia,19687898,4
15754,Departament d'Enginyeria Agroalimentària i Biotecnologia,22038448,5
15763,Departament d'Enginyeria Agroalimentària i Biotecnologia,22039035,8
15816,Departament d'Enginyeria Agroalimentària i Biotecnologia,23504080,10
15821,Departament d'Enginyeria Agroalimentària i Biotecnologia,23530101,33
15851,Departament d'Enginyeria Agroalimentària i Biotecnologia,23641196,10
15889,Departament d'Enginyeria Agroalimentària i Biotecnologia,25171246,2
15893,Departament d'Enginyeria Agroalimentària i Biotecnologia,25178382,2
15913,Departament d'Enginyeria Agroalimentària i Biotecnologia,25188197,5
15984,Departament d'Enginyeria Agroalimentària i Biotecnologia,25897170,18
15992,Departament d'Enginyeria Agroalimentària i Biotecnologia,25897863,3
16030,Departament d'Enginyeria Agroalimentària i Biotecnologia,26406162,1
16144,Departament d'Enginyeria Agroalimentària i Biotecnologia,31987126,15
16153,Departament d'Enginyeria Agroalimentària i Biotecnologia,32075008,1
16279,Departament d'Enginyeria Civil i Ambiental,10728710,40
16281,Departament d'Enginyeria Civil i Ambiental,10815180,17
16320,Departament d'Enginyeria Civil i Ambiental,11006912,1
16323,Departament d'Enginyeria Civil i Ambiental,11007058,12
16340,Departament d'Enginyeria Civil i Ambiental,11008822,37
16342,Departament d'Enginyeria Civil i Ambiental,11009315,8
16350,Departament d'Enginyeria Civil i Ambiental,11108361,33
16357,Departament d'Enginyeria Civil i Ambiental,11213364,11
16376,Departament d'Enginyeria Civil i Ambiental,11485758,8
16377,Departament d'Enginyeria Civil i Ambiental,11485768,29
16394,Departament d'Enginyeria Civil i Ambiental,12609005,3
16397,Departament d'Enginyeria Civil i Ambiental,12609729,4
16399,Departament d'Enginyeria Civil i Ambiental,12631127,2
16403,Departament d'Enginyeria Civil i Ambiental,12716837,8
16404,Departament d'Enginyeria Civil i Ambiental,12716967,15
16410,Departament d'Enginyeria Civil i Ambiental,12743109,15
16424,Departament d'Enginyeria Civil i Ambiental,12827943,15
16447,Departament d'Enginyeria Civil i Ambiental,12997074,2
16450,Departament d'Enginyeria Civil i Ambiental,13029475,8
16454,Departament d'Enginyeria Civil i Ambiental,13061154,4
16458,Departament d'Enginyeria Civil i Ambiental,13165936,1
16462,Departament d'Enginyeria Civil i Ambiental,13418205,7
16473,Departament d'Enginyeria Civil i Ambiental,14367621,10
16525,Departament d'Enginyeria Civil i Ambiental,15372720,3
16555,Departament d'Enginyeria Civil i Ambiental,15642157,24
16576,Departament d'Enginyeria Civil i Ambiental,16670529,19
16585,Departament d'Enginyeria Civil i Ambiental,16828257,5
16591,Departament d'Enginyeria Civil i Ambiental,16870798,14
16594,Departament d'Enginyeria Civil i Ambiental,16919481,20
16608,Departament d'Enginyeria Civil i Ambiental,17534938,2
16638,Departament d'Enginyeria Civil i Ambiental,17705301,3
