,Journal_area_research,Number_authors
96,Engineering  (miscellaneous),520
87,Electrical and Electronic Engineering,465
59,Computer Science  (miscellaneous),448
227,Software,411
14,Applied Mathematics,397
62,Condensed Matter Physics,350
9,Analytical Chemistry,324
46,Chemical Engineering  (miscellaneous),310
60,Computer Science Applications,305
37,Building and Construction,279
156,Materials Science (miscellaneous),267
223,Signal Processing,254
241,Theoretical Computer Science,251
170,Multidisciplinary,239
218,"Renewable Energy, Sustainability and the Environment",231
48,Civil and Structural Engineering,207
113,"Geography, Planning and Development",204
78,Earth and Planetary Sciences  (miscellaneous),201
207,Polymers and Plastics,199
251,Water Science and Technology,193
25,"Atomic and Molecular Physics, and Optics",189
20,Architecture,176
163,Medicine  (miscellaneous),176
47,Chemistry  (miscellaneous),175
159,Mechanical Engineering,171
99,Environmental Science  (miscellaneous),171
58,Computer Networks and Communications,170
221,"Safety, Risk, Reliability and Quality",164
3,Aerospace Engineering,161
21,Artificial Intelligence,160
86,Education,149
233,Statistics and Probability,148
155,Materials Chemistry,145
98,Environmental Engineering,143
34,Biomedical Engineering,141
45,Ceramics and Composites,140
97,Environmental Chemistry,137
203,Physics and Astronomy (miscellaneous),130
239,"Surfaces, Coatings and Films",130
138,Industrial and Manufacturing Engineering,128
229,Space and Planetary Science,121
31,Bioengineering,120
24,Atmospheric Science,114
65,Control and Systems Engineering,108
120,Hardware and Architecture,107
55,Computational Mechanics,104
158,Mathematics  (miscellaneous),103
28,Biochemistry,102
249,Visual Arts and Performing Arts,100
164,Metals and Alloys,96
230,Spectroscopy,87
208,Process Chemistry and Technology,84
125,"Health, Toxicology and Mutagenesis",80
228,Soil Science,79
114,Geology,78
212,"Public Health, Environmental and Occupational Health",77
33,Biomaterials,77
89,"Electronic, Optical and Magnetic Materials",76
8,Analysis,76
84,Economics and Econometrics,75
235,Strategy and Management,74
7,Algebra and Number Theory,73
238,Surfaces and Interfaces,71
30,"Biochemistry, Genetics and Molecular Biology  (miscellaneous)",71
206,Pollution,71
183,Ocean Engineering,71
6,Agronomy and Crop Science,70
246,Urban Studies,70
144,Instrumentation,69
17,Aquatic Science,67
5,Agricultural and Biological Sciences  (miscellaneous),67
95,Energy Engineering and Power Technology,65
232,Statistical and Nonlinear Physics,64
35,Biophysics,60
216,"Radiology, Nuclear Medicine and Imaging",59
39,"Business, Management and Accounting  (miscellaneous)",54
197,Pharmaceutical Science,53
94,Energy  (miscellaneous),53
245,Transportation,52
142,Inorganic Chemistry,50
1,Acoustics and Ultrasonics,49
140,Information Systems,47
117,Geotechnical Engineering and Engineering Geology,47
79,Earth-Surface Processes,45
189,Organic Chemistry,44
214,Radiation,44
202,Physical and Theoretical Chemistry,44
250,Waste Management and Disposal,43
122,Health Informatics,43
141,Information Systems and Management,41
106,Food Science,39
112,Geochemistry and Petrology,39
57,Computer Graphics and Computer-Aided Design,36
186,Ophthalmology,36
42,Catalysis,36
26,Automotive Engineering,35
237,Structural Biology,35
151,Management Science and Operations Research,35
54,Computational Mathematics,34
145,Law,33
36,Biotechnology,33
116,Geophysics,33
61,Computers in Earth Sciences,33
225,Social Sciences (miscellaneous),32
105,Fluid Flow and Transfer Processes,32
81,Ecology,32
56,Computational Theory and Mathematics,29
147,Linguistics and Language,28
67,Cultural Studies,28
174,Neurology (clinical),27
204,Physiology,27
161,Media Technology,26
41,Cardiology and Cardiovascular Medicine,25
226,Sociology and Political Science,25
209,Psychiatry and Mental Health,25
217,Rehabilitation,25
85,"Economics, Econometrics and Finance  (miscellaneous)",24
184,Oceanography,23
176,Neuroscience  (miscellaneous),22
210,Psychology  (miscellaneous),22
173,Neurology,22
44,Cellular and Molecular Neuroscience,22
115,Geometry and Topology,20
187,Optometry,20
15,Applied Microbiology and Biotechnology,20
129,History,19
178,Nuclear and High Energy Physics,19
167,Modeling and Simulation,18
191,Orthopedics and Sports Medicine,18
49,Clinical Biochemistry,18
150,Management Information Systems,18
146,Library and Information Sciences,18
165,Microbiology,18
177,Nuclear Energy and Engineering,17
82,"Ecology, Evolution, Behavior and Systematics",17
157,Mathematical Physics,17
76,Drug Discovery,17
