Publication_year,Department_UPC,ID_article
2012,Departament d'Organitzacio d'Empreses,43
2012,Departament d'Urbanisme i Ordenacio del Territori,28
2012,Departament d'Optica i Optometria,36
2012,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,112
2012,Departament de Ciencia i Enginyeria Nautiques,4
2012,Departament de Ciencies de la Computacio,75
2012,Departament de Fisica,201
2012,Departament de Matematiques,258
2012,Departament de Mecanica de Fluids,19
2012,Departament de Maquines i Motors Termics,39
2012,Departament de Projectes Arquitectonics,45
2012,Departament de Representacio Arquitectonica,16
2012,Departament de Resistencia de Materials i Estructures a l'Enginyeria,18
2012,Departament de Tecnologia de l'Arquitectura,57
2012,Departament de Teoria del Senyal i Comunicacions,145
2012,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,74
2012,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",1
2012,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2012,Grup de Recerca Aplicada en Hidrometeorologia,0
2012,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,6
2012,Institut d'Organitzacio i Control de Sistemes Industrials,0
2012,Institut de Ciencies de l'Educacio,1
2012,Institut de Robotica i Informatica Industrial,8
2012,Institut de Tecniques Energetiques,4
2013,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,1
2013,Centre Tecnologic de Vilanova i la Geltru,8
2013,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",1
2013,Catedra UNESCO de Sostenibilitat,1
2013,Departament d'Arquitectura de Computadors,73
2013,Departament d'Enginyeria Agroalimentaria i Biotecnologia,34
2013,Departament d'Enginyeria Civil i Ambiental,325
2013,Departament d'Enginyeria Electronica,130
2013,Departament d'Enginyeria Electrica,58
2013,Departament d'Enginyeria Mecanica,23
2013,"Departament d'Enginyeria Minera, Industrial i TIC",26
2013,Departament d'Enginyeria Quimica,143
2013,Departament d'Enginyeria Telematica,35
2013,Departament d'Enginyeria de Projectes i de la Construccio,37
2013,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,19
2013,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",68
2013,Departament d'Estadistica i Investigacio Operativa,42
2013,Departament d'Expressio Grafica a l'Enginyeria,19
2013,Departament d'Organitzacio d'Empreses,47
2013,Departament d'Urbanisme i Ordenacio del Territori,41
2013,Departament d'Optica i Optometria,22
2013,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,87
2013,Departament de Ciencia i Enginyeria Nautiques,9
2013,Departament de Ciencies de la Computacio,74
2013,Departament de Fisica,202
2013,Departament de Matematiques,245
2013,Departament de Mecanica de Fluids,18
2013,Departament de Maquines i Motors Termics,42
2013,Departament de Projectes Arquitectonics,33
2013,Departament de Representacio Arquitectonica,17
2013,Departament de Resistencia de Materials i Estructures a l'Enginyeria,21
2013,Departament de Tecnologia de l'Arquitectura,44
2013,Departament de Teoria del Senyal i Comunicacions,126
2013,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,57
2013,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",1
2013,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2013,Grup de Recerca Aplicada en Hidrometeorologia,0
2013,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,2
2013,Institut d'Organitzacio i Control de Sistemes Industrials,2
2013,Institut de Ciencies de l'Educacio,6
2013,Institut de Robotica i Informatica Industrial,10
2013,Institut de Tecniques Energetiques,2
2014,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,1
2014,Centre Tecnologic de Vilanova i la Geltru,5
2014,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",1
2014,Catedra UNESCO de Sostenibilitat,1
2014,Departament d'Arquitectura de Computadors,85
2014,Departament d'Enginyeria Agroalimentaria i Biotecnologia,52
2014,Departament d'Enginyeria Civil i Ambiental,319
2014,Departament d'Enginyeria Electronica,145
2014,Departament d'Enginyeria Electrica,57
2014,Departament d'Enginyeria Mecanica,39
2014,"Departament d'Enginyeria Minera, Industrial i TIC",40
2014,Departament d'Enginyeria Quimica,180
2014,Departament d'Enginyeria Telematica,44
2014,Departament d'Enginyeria de Projectes i de la Construccio,43
2014,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,19
